date,equipment,category,condition,part,part_number,quantity,reason,anomaly
"2026-04-30","NR-05","Surface Mining Equipment","Poor","Engine oil filter","FLT-ENG-797","0.6","Routine issue","false"
"2026-05-01","NR-05","Surface Mining Equipment","Poor","Engine oil filter","FLT-ENG-797","0.7","Routine issue","false"
"2026-05-02","NR-05","Surface Mining Equipment","Poor","Engine oil filter","FLT-ENG-797","0.7","Routine issue","false"
"2026-05-03","NR-05","Surface Mining Equipment","Poor","Engine oil filter","FLT-ENG-797","0.6","Routine issue","false"
"2026-05-04","NR-05","Surface Mining Equipment","Poor","Engine oil filter","FLT-ENG-797","0.6","Routine issue","false"
"2026-05-05","NR-05","Surface Mining Equipment","Poor","Engine oil filter","FLT-ENG-797","0.6","Routine issue","false"
"2026-05-06","NR-05","Surface Mining Equipment","Poor","Engine oil filter","FLT-ENG-797","0.6","Routine issue","false"
"2026-05-07","NR-05","Surface Mining Equipment","Poor","Engine oil filter","FLT-ENG-797","0.6","Routine issue","false"
"2026-05-08","NR-05","Surface Mining Equipment","Poor","Engine oil filter","FLT-ENG-797","0.6","Routine issue","false"
"2026-05-09","NR-05","Surface Mining Equipment","Poor","Engine oil filter","FLT-ENG-797","0.7","Routine issue","false"
"2026-05-10","NR-05","Surface Mining Equipment","Poor","Engine oil filter","FLT-ENG-797","0.6","Routine issue","false"
"2026-05-11","NR-05","Surface Mining Equipment","Poor","Engine oil filter","FLT-ENG-797","0.6","Routine issue","false"
"2026-05-12","NR-05","Surface Mining Equipment","Poor","Engine oil filter","FLT-ENG-797","0.7","Routine issue","false"
"2026-05-13","NR-05","Surface Mining Equipment","Poor","Engine oil filter","FLT-ENG-797","0.6","Routine issue","false"
"2026-05-14","NR-05","Surface Mining Equipment","Poor","Engine oil filter","FLT-ENG-797","0.6","Routine issue","false"
"2026-05-15","NR-05","Surface Mining Equipment","Poor","Engine oil filter","FLT-ENG-797","0.6","Routine issue","false"
"2026-05-16","NR-05","Surface Mining Equipment","Poor","Engine oil filter","FLT-ENG-797","0.6","Routine issue","false"
"2026-05-17","NR-05","Surface Mining Equipment","Poor","Engine oil filter","FLT-ENG-797","0.6","Routine issue","false"
"2026-05-18","NR-05","Surface Mining Equipment","Poor","Engine oil filter","FLT-ENG-797","0.6","Routine issue","false"
"2026-05-19","NR-05","Surface Mining Equipment","Poor","Engine oil filter","FLT-ENG-797","0.7","Routine issue","false"
"2026-05-20","NR-05","Surface Mining Equipment","Poor","Engine oil filter","FLT-ENG-797","0.6","Routine issue","false"
"2026-05-21","NR-05","Surface Mining Equipment","Poor","Engine oil filter","FLT-ENG-797","0.6","Routine issue","false"
"2026-05-22","NR-05","Surface Mining Equipment","Poor","Engine oil filter","FLT-ENG-797","0.6","Routine issue","false"
"2026-05-23","NR-05","Surface Mining Equipment","Poor","Engine oil filter","FLT-ENG-797","0.6","Routine issue","false"
"2026-05-24","NR-05","Surface Mining Equipment","Poor","Engine oil filter","FLT-ENG-797","0.6","Routine issue","false"
"2026-05-25","NR-05","Surface Mining Equipment","Poor","Engine oil filter","FLT-ENG-797","0.6","Routine issue","false"
"2026-05-26","NR-05","Surface Mining Equipment","Poor","Engine oil filter","FLT-ENG-797","0.6","Routine issue","false"
"2026-05-27","NR-05","Surface Mining Equipment","Poor","Engine oil filter","FLT-ENG-797","0.6","Routine issue","false"
"2026-05-28","NR-05","Surface Mining Equipment","Poor","Engine oil filter","FLT-ENG-797","0.6","Routine issue","false"
"2026-05-29","NR-05","Surface Mining Equipment","Poor","Engine oil filter","FLT-ENG-797","0.6","Routine issue","false"
"2026-05-30","NR-05","Surface Mining Equipment","Poor","Engine oil filter","FLT-ENG-797","0.6","Routine issue","false"
"2026-05-31","NR-05","Surface Mining Equipment","Poor","Engine oil filter","FLT-ENG-797","1.6","Maintenance spike","false"
"2026-06-01","NR-05","Surface Mining Equipment","Poor","Engine oil filter","FLT-ENG-797","0.6","Routine issue","false"
"2026-06-02","NR-05","Surface Mining Equipment","Poor","Engine oil filter","FLT-ENG-797","0.6","Routine issue","false"
"2026-06-03","NR-05","Surface Mining Equipment","Poor","Engine oil filter","FLT-ENG-797","0.6","Routine issue","false"
"2026-06-04","NR-05","Surface Mining Equipment","Poor","Engine oil filter","FLT-ENG-797","0.6","Routine issue","false"
"2026-06-05","NR-05","Surface Mining Equipment","Poor","Engine oil filter","FLT-ENG-797","0.5","Routine issue","false"
"2026-06-06","NR-05","Surface Mining Equipment","Poor","Engine oil filter","FLT-ENG-797","0.6","Routine issue","false"
"2026-06-07","NR-05","Surface Mining Equipment","Poor","Engine oil filter","FLT-ENG-797","0.6","Routine issue","false"
"2026-06-08","NR-05","Surface Mining Equipment","Poor","Engine oil filter","FLT-ENG-797","0.5","Routine issue","false"
"2026-06-09","NR-05","Surface Mining Equipment","Poor","Engine oil filter","FLT-ENG-797","0.6","Routine issue","false"
"2026-06-10","NR-05","Surface Mining Equipment","Poor","Engine oil filter","FLT-ENG-797","0.5","Routine issue","false"
"2026-06-11","NR-05","Surface Mining Equipment","Poor","Engine oil filter","FLT-ENG-797","0.6","Routine issue","false"
"2026-06-12","NR-05","Surface Mining Equipment","Poor","Engine oil filter","FLT-ENG-797","0.6","Routine issue","false"
"2026-06-13","NR-05","Surface Mining Equipment","Poor","Engine oil filter","FLT-ENG-797","0.6","Routine issue","false"
"2026-06-14","NR-05","Surface Mining Equipment","Poor","Engine oil filter","FLT-ENG-797","0.6","Routine issue","false"
"2026-06-15","NR-05","Surface Mining Equipment","Poor","Engine oil filter","FLT-ENG-797","0.6","Routine issue","false"
"2026-06-16","NR-05","Surface Mining Equipment","Poor","Engine oil filter","FLT-ENG-797","0.6","Routine issue","false"
"2026-06-17","NR-05","Surface Mining Equipment","Poor","Engine oil filter","FLT-ENG-797","0.5","Routine issue","false"
"2026-06-18","NR-05","Surface Mining Equipment","Poor","Engine oil filter","FLT-ENG-797","0.6","Routine issue","false"
"2026-06-19","NR-05","Surface Mining Equipment","Poor","Engine oil filter","FLT-ENG-797","0.6","Routine issue","false"
"2026-06-20","NR-05","Surface Mining Equipment","Poor","Engine oil filter","FLT-ENG-797","0.6","Routine issue","false"
"2026-06-21","NR-05","Surface Mining Equipment","Poor","Engine oil filter","FLT-ENG-797","0.6","Routine issue","false"
"2026-06-22","NR-05","Surface Mining Equipment","Poor","Engine oil filter","FLT-ENG-797","0.6","Routine issue","false"
"2026-06-23","NR-05","Surface Mining Equipment","Poor","Engine oil filter","FLT-ENG-797","0.5","Routine issue","false"
"2026-06-24","NR-05","Surface Mining Equipment","Poor","Engine oil filter","FLT-ENG-797","0.5","Routine issue","false"
"2026-06-25","NR-05","Surface Mining Equipment","Poor","Engine oil filter","FLT-ENG-797","0.6","Routine issue","false"
"2026-06-26","NR-05","Surface Mining Equipment","Poor","Engine oil filter","FLT-ENG-797","0.5","Routine issue","false"
"2026-06-27","NR-05","Surface Mining Equipment","Poor","Engine oil filter","FLT-ENG-797","0.6","Routine issue","false"
"2026-06-28","NR-05","Surface Mining Equipment","Poor","Engine oil filter","FLT-ENG-797","0.5","Routine issue","false"
"2026-06-29","NR-05","Surface Mining Equipment","Poor","Engine oil filter","FLT-ENG-797","0.5","Routine issue","false"
"2026-06-30","NR-05","Surface Mining Equipment","Poor","Engine oil filter","FLT-ENG-797","0.6","Routine issue","false"
"2026-07-01","NR-05","Surface Mining Equipment","Poor","Engine oil filter","FLT-ENG-797","0.6","Routine issue","false"
"2026-07-02","NR-05","Surface Mining Equipment","Poor","Engine oil filter","FLT-ENG-797","0.5","Routine issue","false"
"2026-07-03","NR-05","Surface Mining Equipment","Poor","Engine oil filter","FLT-ENG-797","0.6","Routine issue","false"
"2026-07-04","NR-05","Surface Mining Equipment","Poor","Engine oil filter","FLT-ENG-797","0.6","Routine issue","false"
"2026-07-05","NR-05","Surface Mining Equipment","Poor","Engine oil filter","FLT-ENG-797","0.6","Routine issue","false"
"2026-07-06","NR-05","Surface Mining Equipment","Poor","Engine oil filter","FLT-ENG-797","0.5","Routine issue","false"
"2026-07-07","NR-05","Surface Mining Equipment","Poor","Engine oil filter","FLT-ENG-797","1.6","Maintenance spike","false"
"2026-07-08","NR-05","Surface Mining Equipment","Poor","Engine oil filter","FLT-ENG-797","0.5","Routine issue","false"
"2026-07-09","NR-05","Surface Mining Equipment","Poor","Engine oil filter","FLT-ENG-797","0.5","Routine issue","false"
"2026-07-10","NR-05","Surface Mining Equipment","Poor","Engine oil filter","FLT-ENG-797","0.6","Routine issue","false"
"2026-07-11","NR-05","Surface Mining Equipment","Poor","Engine oil filter","FLT-ENG-797","0.5","Routine issue","false"
"2026-07-12","NR-05","Surface Mining Equipment","Poor","Engine oil filter","FLT-ENG-797","0.5","Routine issue","false"
"2026-07-13","NR-05","Surface Mining Equipment","Poor","Engine oil filter","FLT-ENG-797","0.6","Routine issue","false"
"2026-07-14","NR-05","Surface Mining Equipment","Poor","Engine oil filter","FLT-ENG-797","0.5","Routine issue","false"
"2026-07-15","NR-05","Surface Mining Equipment","Poor","Engine oil filter","FLT-ENG-797","1.7","Anomaly","true"
"2026-07-16","NR-05","Surface Mining Equipment","Poor","Engine oil filter","FLT-ENG-797","0.5","Routine issue","false"
"2026-07-17","NR-05","Surface Mining Equipment","Poor","Engine oil filter","FLT-ENG-797","0.6","Routine issue","false"
"2026-07-18","NR-05","Surface Mining Equipment","Poor","Engine oil filter","FLT-ENG-797","0.6","Routine issue","false"
"2026-07-19","NR-05","Surface Mining Equipment","Poor","Engine oil filter","FLT-ENG-797","0.5","Routine issue","false"
"2026-07-20","NR-05","Surface Mining Equipment","Poor","Engine oil filter","FLT-ENG-797","0.5","Routine issue","false"
"2026-07-21","NR-05","Surface Mining Equipment","Poor","Engine oil filter","FLT-ENG-797","0.6","Routine issue","false"
"2026-07-22","NR-05","Surface Mining Equipment","Poor","Engine oil filter","FLT-ENG-797","0.5","Routine issue","false"
"2026-07-23","NR-05","Surface Mining Equipment","Poor","Engine oil filter","FLT-ENG-797","0.5","Routine issue","false"
"2026-07-24","NR-05","Surface Mining Equipment","Poor","Engine oil filter","FLT-ENG-797","0.6","Routine issue","false"
"2026-07-25","NR-05","Surface Mining Equipment","Poor","Engine oil filter","FLT-ENG-797","0.5","Routine issue","false"
"2026-07-26","NR-05","Surface Mining Equipment","Poor","Engine oil filter","FLT-ENG-797","0.5","Routine issue","false"
"2026-07-27","NR-05","Surface Mining Equipment","Poor","Engine oil filter","FLT-ENG-797","0.6","Routine issue","false"
"2026-07-28","NR-05","Surface Mining Equipment","Poor","Engine oil filter","FLT-ENG-797","0.6","Routine issue","false"
"2026-07-29","NR-05","Surface Mining Equipment","Poor","Engine oil filter","FLT-ENG-797","0.5","Routine issue","false"
"2026-07-30","NR-05","Surface Mining Equipment","Poor","Engine oil filter","FLT-ENG-797","0.6","Routine issue","false"
"2026-07-31","NR-05","Surface Mining Equipment","Poor","Engine oil filter","FLT-ENG-797","0.6","Routine issue","false"
"2026-08-01","NR-05","Surface Mining Equipment","Poor","Engine oil filter","FLT-ENG-797","0.5","Routine issue","false"
"2026-08-02","NR-05","Surface Mining Equipment","Poor","Engine oil filter","FLT-ENG-797","0.6","Routine issue","false"
"2026-08-03","NR-05","Surface Mining Equipment","Poor","Engine oil filter","FLT-ENG-797","0.6","Routine issue","false"
"2026-08-04","NR-05","Surface Mining Equipment","Poor","Engine oil filter","FLT-ENG-797","0.5","Routine issue","false"
"2026-08-05","NR-05","Surface Mining Equipment","Poor","Engine oil filter","FLT-ENG-797","0.5","Routine issue","false"
"2026-08-06","NR-05","Surface Mining Equipment","Poor","Engine oil filter","FLT-ENG-797","0.6","Routine issue","false"
"2026-08-07","NR-05","Surface Mining Equipment","Poor","Engine oil filter","FLT-ENG-797","0.6","Routine issue","false"
"2026-08-08","NR-05","Surface Mining Equipment","Poor","Engine oil filter","FLT-ENG-797","0.6","Routine issue","false"
"2026-08-09","NR-05","Surface Mining Equipment","Poor","Engine oil filter","FLT-ENG-797","0.5","Routine issue","false"
"2026-08-10","NR-05","Surface Mining Equipment","Poor","Engine oil filter","FLT-ENG-797","0.6","Routine issue","false"
"2026-08-11","NR-05","Surface Mining Equipment","Poor","Engine oil filter","FLT-ENG-797","0.6","Routine issue","false"
"2026-08-12","NR-05","Surface Mining Equipment","Poor","Engine oil filter","FLT-ENG-797","0.6","Routine issue","false"
"2026-08-13","NR-05","Surface Mining Equipment","Poor","Engine oil filter","FLT-ENG-797","1.5","Maintenance spike","false"
"2026-08-14","NR-05","Surface Mining Equipment","Poor","Engine oil filter","FLT-ENG-797","0.5","Routine issue","false"
"2026-08-15","NR-05","Surface Mining Equipment","Poor","Engine oil filter","FLT-ENG-797","0.6","Routine issue","false"
"2026-08-16","NR-05","Surface Mining Equipment","Poor","Engine oil filter","FLT-ENG-797","0.5","Routine issue","false"
"2026-08-17","NR-05","Surface Mining Equipment","Poor","Engine oil filter","FLT-ENG-797","0.5","Routine issue","false"
"2026-08-18","NR-05","Surface Mining Equipment","Poor","Engine oil filter","FLT-ENG-797","0.6","Routine issue","false"
"2026-08-19","NR-05","Surface Mining Equipment","Poor","Engine oil filter","FLT-ENG-797","0.6","Routine issue","false"
"2026-08-20","NR-05","Surface Mining Equipment","Poor","Engine oil filter","FLT-ENG-797","0.6","Routine issue","false"
"2026-08-21","NR-05","Surface Mining Equipment","Poor","Engine oil filter","FLT-ENG-797","0.6","Routine issue","false"
"2026-08-22","NR-05","Surface Mining Equipment","Poor","Engine oil filter","FLT-ENG-797","0.6","Routine issue","false"
"2026-08-23","NR-05","Surface Mining Equipment","Poor","Engine oil filter","FLT-ENG-797","0.5","Routine issue","false"
"2026-08-24","NR-05","Surface Mining Equipment","Poor","Engine oil filter","FLT-ENG-797","0.5","Routine issue","false"
"2026-08-25","NR-05","Surface Mining Equipment","Poor","Engine oil filter","FLT-ENG-797","0.6","Routine issue","false"
"2026-08-26","NR-05","Surface Mining Equipment","Poor","Engine oil filter","FLT-ENG-797","0.6","Routine issue","false"
"2026-08-27","NR-05","Surface Mining Equipment","Poor","Engine oil filter","FLT-ENG-797","0.5","Routine issue","false"
"2026-08-28","NR-05","Surface Mining Equipment","Poor","Engine oil filter","FLT-ENG-797","0.6","Routine issue","false"
"2026-08-29","NR-05","Surface Mining Equipment","Poor","Engine oil filter","FLT-ENG-797","0.5","Routine issue","false"
"2026-08-30","NR-05","Surface Mining Equipment","Poor","Engine oil filter","FLT-ENG-797","0.6","Routine issue","false"
"2026-08-31","NR-05","Surface Mining Equipment","Poor","Engine oil filter","FLT-ENG-797","0.6","Routine issue","false"
"2026-09-01","NR-05","Surface Mining Equipment","Poor","Engine oil filter","FLT-ENG-797","0.6","Routine issue","false"
"2026-09-02","NR-05","Surface Mining Equipment","Poor","Engine oil filter","FLT-ENG-797","0.6","Routine issue","false"
"2026-09-03","NR-05","Surface Mining Equipment","Poor","Engine oil filter","FLT-ENG-797","0.6","Routine issue","false"
"2026-09-04","NR-05","Surface Mining Equipment","Poor","Engine oil filter","FLT-ENG-797","0.5","Routine issue","false"
"2026-09-05","NR-05","Surface Mining Equipment","Poor","Engine oil filter","FLT-ENG-797","0.6","Routine issue","false"
"2026-09-06","NR-05","Surface Mining Equipment","Poor","Engine oil filter","FLT-ENG-797","0.6","Routine issue","false"
"2026-09-07","NR-05","Surface Mining Equipment","Poor","Engine oil filter","FLT-ENG-797","0.6","Routine issue","false"
"2026-09-08","NR-05","Surface Mining Equipment","Poor","Engine oil filter","FLT-ENG-797","0.6","Routine issue","false"
"2026-09-09","NR-05","Surface Mining Equipment","Poor","Engine oil filter","FLT-ENG-797","0.6","Routine issue","false"
"2026-09-10","NR-05","Surface Mining Equipment","Poor","Engine oil filter","FLT-ENG-797","0.5","Routine issue","false"
"2026-09-11","NR-05","Surface Mining Equipment","Poor","Engine oil filter","FLT-ENG-797","0.6","Routine issue","false"
"2026-09-12","NR-05","Surface Mining Equipment","Poor","Engine oil filter","FLT-ENG-797","0.6","Routine issue","false"
"2026-09-13","NR-05","Surface Mining Equipment","Poor","Engine oil filter","FLT-ENG-797","0.6","Routine issue","false"
"2026-03-18","NR-05","Surface Mining Equipment","Poor","Engine oil 15W-40","LUB-15W40-205","8.3","Routine issue","false"
"2026-03-19","NR-05","Surface Mining Equipment","Poor","Engine oil 15W-40","LUB-15W40-205","22.6","Maintenance spike","false"
"2026-03-20","NR-05","Surface Mining Equipment","Poor","Engine oil 15W-40","LUB-15W40-205","8.1","Routine issue","false"
"2026-03-21","NR-05","Surface Mining Equipment","Poor","Engine oil 15W-40","LUB-15W40-205","8.9","Routine issue","false"
"2026-03-22","NR-05","Surface Mining Equipment","Poor","Engine oil 15W-40","LUB-15W40-205","8.6","Routine issue","false"
"2026-03-23","NR-05","Surface Mining Equipment","Poor","Engine oil 15W-40","LUB-15W40-205","8.8","Routine issue","false"
"2026-03-24","NR-05","Surface Mining Equipment","Poor","Engine oil 15W-40","LUB-15W40-205","8.4","Routine issue","false"
"2026-03-25","NR-05","Surface Mining Equipment","Poor","Engine oil 15W-40","LUB-15W40-205","7.9","Routine issue","false"
"2026-03-26","NR-05","Surface Mining Equipment","Poor","Engine oil 15W-40","LUB-15W40-205","8.2","Routine issue","false"
"2026-03-27","NR-05","Surface Mining Equipment","Poor","Engine oil 15W-40","LUB-15W40-205","8.6","Routine issue","false"
"2026-03-28","NR-05","Surface Mining Equipment","Poor","Engine oil 15W-40","LUB-15W40-205","7.7","Routine issue","false"
"2026-03-29","NR-05","Surface Mining Equipment","Poor","Engine oil 15W-40","LUB-15W40-205","8","Routine issue","false"
"2026-03-30","NR-05","Surface Mining Equipment","Poor","Engine oil 15W-40","LUB-15W40-205","8.5","Routine issue","false"
"2026-03-31","NR-05","Surface Mining Equipment","Poor","Engine oil 15W-40","LUB-15W40-205","9.5","Routine issue","false"
"2026-04-01","NR-05","Surface Mining Equipment","Poor","Engine oil 15W-40","LUB-15W40-205","9","Routine issue","false"
"2026-04-02","NR-05","Surface Mining Equipment","Poor","Engine oil 15W-40","LUB-15W40-205","8.3","Routine issue","false"
"2026-04-03","NR-05","Surface Mining Equipment","Poor","Engine oil 15W-40","LUB-15W40-205","8.5","Routine issue","false"
"2026-04-04","NR-05","Surface Mining Equipment","Poor","Engine oil 15W-40","LUB-15W40-205","8.2","Routine issue","false"
"2026-04-05","NR-05","Surface Mining Equipment","Poor","Engine oil 15W-40","LUB-15W40-205","8.9","Routine issue","false"
"2026-04-06","NR-05","Surface Mining Equipment","Poor","Engine oil 15W-40","LUB-15W40-205","9.6","Routine issue","false"
"2026-04-07","NR-05","Surface Mining Equipment","Poor","Engine oil 15W-40","LUB-15W40-205","9.5","Routine issue","false"
"2026-04-08","NR-05","Surface Mining Equipment","Poor","Engine oil 15W-40","LUB-15W40-205","8.7","Routine issue","false"
"2026-04-09","NR-05","Surface Mining Equipment","Poor","Engine oil 15W-40","LUB-15W40-205","9.3","Routine issue","false"
"2026-04-10","NR-05","Surface Mining Equipment","Poor","Engine oil 15W-40","LUB-15W40-205","9","Routine issue","false"
"2026-04-11","NR-05","Surface Mining Equipment","Poor","Engine oil 15W-40","LUB-15W40-205","9.6","Routine issue","false"
"2026-04-12","NR-05","Surface Mining Equipment","Poor","Engine oil 15W-40","LUB-15W40-205","8.8","Routine issue","false"
"2026-04-13","NR-05","Surface Mining Equipment","Poor","Engine oil 15W-40","LUB-15W40-205","8.3","Routine issue","false"
"2026-04-14","NR-05","Surface Mining Equipment","Poor","Engine oil 15W-40","LUB-15W40-205","9.2","Routine issue","false"
"2026-04-15","NR-05","Surface Mining Equipment","Poor","Engine oil 15W-40","LUB-15W40-205","9.4","Routine issue","false"
"2026-04-16","NR-05","Surface Mining Equipment","Poor","Engine oil 15W-40","LUB-15W40-205","8.5","Routine issue","false"
"2026-04-17","NR-05","Surface Mining Equipment","Poor","Engine oil 15W-40","LUB-15W40-205","8.9","Routine issue","false"
"2026-04-18","NR-05","Surface Mining Equipment","Poor","Engine oil 15W-40","LUB-15W40-205","8.3","Routine issue","false"
"2026-04-19","NR-05","Surface Mining Equipment","Poor","Engine oil 15W-40","LUB-15W40-205","8.2","Routine issue","false"
"2026-04-20","NR-05","Surface Mining Equipment","Poor","Engine oil 15W-40","LUB-15W40-205","8.6","Routine issue","false"
"2026-04-21","NR-05","Surface Mining Equipment","Poor","Engine oil 15W-40","LUB-15W40-205","8.3","Routine issue","false"
"2026-04-22","NR-05","Surface Mining Equipment","Poor","Engine oil 15W-40","LUB-15W40-205","9.5","Routine issue","false"
"2026-04-23","NR-05","Surface Mining Equipment","Poor","Engine oil 15W-40","LUB-15W40-205","9","Routine issue","false"
"2026-04-24","NR-05","Surface Mining Equipment","Poor","Engine oil 15W-40","LUB-15W40-205","8.8","Routine issue","false"
"2026-04-25","NR-05","Surface Mining Equipment","Poor","Engine oil 15W-40","LUB-15W40-205","23.6","Maintenance spike","false"
"2026-04-26","NR-05","Surface Mining Equipment","Poor","Engine oil 15W-40","LUB-15W40-205","8.9","Routine issue","false"
"2026-04-27","NR-05","Surface Mining Equipment","Poor","Engine oil 15W-40","LUB-15W40-205","8.5","Routine issue","false"
"2026-04-28","NR-05","Surface Mining Equipment","Poor","Engine oil 15W-40","LUB-15W40-205","8.6","Routine issue","false"
"2026-04-29","NR-05","Surface Mining Equipment","Poor","Engine oil 15W-40","LUB-15W40-205","8.4","Routine issue","false"
"2026-04-30","NR-05","Surface Mining Equipment","Poor","Engine oil 15W-40","LUB-15W40-205","8.4","Routine issue","false"
"2026-05-01","NR-05","Surface Mining Equipment","Poor","Engine oil 15W-40","LUB-15W40-205","8.2","Routine issue","false"
"2026-05-02","NR-05","Surface Mining Equipment","Poor","Engine oil 15W-40","LUB-15W40-205","9.5","Routine issue","false"
"2026-05-03","NR-05","Surface Mining Equipment","Poor","Engine oil 15W-40","LUB-15W40-205","8.1","Routine issue","false"
"2026-05-04","NR-05","Surface Mining Equipment","Poor","Engine oil 15W-40","LUB-15W40-205","8.3","Routine issue","false"
"2026-05-05","NR-05","Surface Mining Equipment","Poor","Engine oil 15W-40","LUB-15W40-205","8.2","Routine issue","false"
"2026-05-06","NR-05","Surface Mining Equipment","Poor","Engine oil 15W-40","LUB-15W40-205","9.1","Routine issue","false"
"2026-05-07","NR-05","Surface Mining Equipment","Poor","Engine oil 15W-40","LUB-15W40-205","8.5","Routine issue","false"
"2026-05-08","NR-05","Surface Mining Equipment","Poor","Engine oil 15W-40","LUB-15W40-205","8.8","Routine issue","false"
"2026-05-09","NR-05","Surface Mining Equipment","Poor","Engine oil 15W-40","LUB-15W40-205","8.7","Routine issue","false"
